case,check,detail
nodule_008,image_preprocessing_reproduction,0.9420289993286133
nodule_010,image_preprocessing_reproduction,0.31884056329727173
nodule_019,image_preprocessing_reproduction,0.816425085067749
nodule_023,image_preprocessing_reproduction,0.9468598961830139
nodule_026,image_preprocessing_reproduction,0.6859903335571289
nodule_028,image_preprocessing_reproduction,0.4057970941066742
nodule_031,image_preprocessing_reproduction,1.0
nodule_036,image_preprocessing_reproduction,0.9275362491607666
nodule_039,image_preprocessing_reproduction,0.8260869383811951
nodule_042,image_preprocessing_reproduction,1.0
nodule_047,image_preprocessing_reproduction,0.9468598961830139
nodule_066,image_preprocessing_reproduction,0.6811594367027283
nodule_068,image_preprocessing_reproduction,0.5265700817108154
nodule_092,image_preprocessing_reproduction,0.7874395847320557
nodule_096,image_preprocessing_reproduction,0.5797101259231567
nodule_097,image_preprocessing_reproduction,0.3768116235733032
nodule_137,image_preprocessing_reproduction,0.8695651888847351
nodule_148,image_preprocessing_reproduction,0.966183602809906
nodule_151,image_preprocessing_reproduction,0.7101449370384216
nodule_155,image_preprocessing_reproduction,0.7246376872062683
nodule_167,image_preprocessing_reproduction,0.95652174949646
nodule_169,image_preprocessing_reproduction,0.9275362491607666
nodule_171,image_preprocessing_reproduction,0.816425085067749
nodule_191,image_preprocessing_reproduction,0.19806763529777527
nodule_202,image_preprocessing_reproduction,0.9130434989929199
nodule_211,image_preprocessing_reproduction,0.4444444477558136
nodule_229,image_preprocessing_reproduction,0.8454105854034424
nodule_250,image_preprocessing_reproduction,1.0
nodule_261,image_preprocessing_reproduction,0.8550724983215332
nodule_264,image_preprocessing_reproduction,0.6473430395126343
nodule_268,image_preprocessing_reproduction,0.25120776891708374
nodule_275,image_preprocessing_reproduction,0.7632850408554077
nodule_284,image_preprocessing_reproduction,0.95652174949646
nodule_292,image_preprocessing_reproduction,0.772946834564209
nodule_295,image_preprocessing_reproduction,0.6859903335571289
nodule_313,image_preprocessing_reproduction,0.9371980428695679
nodule_317,image_preprocessing_reproduction,0.5265700817108154
nodule_319,image_preprocessing_reproduction,0.9130434989929199
nodule_326,image_preprocessing_reproduction,0.5458937287330627
nodule_327,image_preprocessing_reproduction,0.7004830837249756
